"";"SHP";"VUOSI";"HOITOMUOTO";"JAKSO";"KAYNTEJA";"JAKSOJA"
"25";"Ahvenanmaa";"2020";"Yhteensä";"1 viikko";47;73
"26";"Ahvenanmaa";"2020";"Yhteensä";"2 viikkoa";56;73
"27";"Ahvenanmaa";"2020";"Yhteensä";"4 viikkoa";61;73
"28";"Ahvenanmaa";"2020";"Päivystyskäynti";"1 viikko";1;73
"29";"Ahvenanmaa";"2020";"Päivystyskäynti";"2 viikkoa";1;73
"30";"Ahvenanmaa";"2020";"Päivystyskäynti";"4 viikkoa";1;73
"31";"Ahvenanmaa";"2020";"Yhteensä (käynnit)";"1 viikko";45;73
"32";"Ahvenanmaa";"2020";"Yhteensä (käynnit)";"2 viikkoa";55;73
"33";"Ahvenanmaa";"2020";"Rehospitalisaatio";"1 viikko";9;73
"34";"Ahvenanmaa";"2020";"PTH avohoito (käynnit)";"1 viikko";16;73
"35";"Ahvenanmaa";"2020";"Rehospitalisaatio";"2 viikkoa";12;73
"36";"Ahvenanmaa";"2020";"Rehospitalisaatio";"4 viikkoa";13;73
"37";"Ahvenanmaa";"2020";"PTH + ESH avohoito (käynnit)";"2 viikkoa";51;73
"38";"Ahvenanmaa";"2020";"Yhteensä (käynnit)";"4 viikkoa";60;73
"39";"Ahvenanmaa";"2020";"PTH avohoito (käynnit)";"2 viikkoa";29;73
"40";"Ahvenanmaa";"2020";"PTH avohoito (käynnit)";"4 viikkoa";34;73
"41";"Ahvenanmaa";"2020";"Sosiaalihuolto";"4 viikkoa";8;73
"42";"Ahvenanmaa";"2020";"PTH + ESH avohoito (käynnit)";"4 viikkoa";57;73
"43";"Ahvenanmaa";"2020";"PTH + ESH avohoito (käynnit)";"1 viikko";40;73
"44";"Ahvenanmaa";"2020";"Sosiaalihuolto";"2 viikkoa";8;73
"45";"Etelä-Karjalan SHP";"2019";"PTH avohoito (käynnit)";"4 viikkoa";386;495
"46";"Etelä-Karjalan SHP";"2019";"ESH avohoito";"1 viikko";42;495
"47";"Etelä-Karjalan SHP";"2019";"Sosiaalihuolto";"2 viikkoa";15;495
"48";"Etelä-Karjalan SHP";"2019";"Sosiaalihuolto";"4 viikkoa";21;495
"49";"Etelä-Karjalan SHP";"2019";"PTH avohoito (käynnit)";"1 viikko";261;495
"50";"Etelä-Karjalan SHP";"2019";"PTH avohoito (käynnit)";"2 viikkoa";341;495
"51";"Etelä-Karjalan SHP";"2019";"PTH + ESH avohoito (käynnit)";"2 viikkoa";362;495
"52";"Etelä-Karjalan SHP";"2019";"PTH + ESH avohoito (käynnit)";"4 viikkoa";413;495
"53";"Etelä-Karjalan SHP";"2019";"ESH avohoito";"2 viikkoa";59;495
"54";"Etelä-Karjalan SHP";"2019";"PTH avohoito";"4 viikkoa";444;495
"55";"Etelä-Karjalan SHP";"2019";"Päivystyskäynti";"1 viikko";39;495
"56";"Etelä-Karjalan SHP";"2019";"Päivystyskäynti";"2 viikkoa";57;495
"57";"Etelä-Karjalan SHP";"2019";"Päivystyskäynti";"4 viikkoa";81;495
"58";"Etelä-Karjalan SHP";"2019";"PTH avohoito mielenterveys";"2 viikkoa";266;495
"59";"Etelä-Karjalan SHP";"2019";"ESH avohoito";"4 viikkoa";95;495
"60";"Etelä-Karjalan SHP";"2019";"Rehospitalisaatio";"1 viikko";49;495
"61";"Etelä-Karjalan SHP";"2019";"Rehospitalisaatio";"2 viikkoa";82;495
"62";"Etelä-Karjalan SHP";"2019";"Rehospitalisaatio";"4 viikkoa";134;495
"63";"Etelä-Karjalan SHP";"2019";"PTH + ESH avohoito (käynnit)";"1 viikko";280;495
"64";"Etelä-Karjalan SHP";"2019";"Yhteensä";"1 viikko";370;495
"65";"Etelä-Karjalan SHP";"2019";"Yhteensä";"2 viikkoa";436;495
"66";"Etelä-Karjalan SHP";"2019";"PTH avohoito";"2 viikkoa";420;495
"67";"Etelä-Karjalan SHP";"2019";"PTH avohoito";"1 viikko";347;495
"68";"Etelä-Karjalan SHP";"2019";"Yhteensä (käynnit)";"1 viikko";299;495
"69";"Etelä-Karjalan SHP";"2019";"Yhteensä (käynnit)";"4 viikkoa";428;495
"70";"Etelä-Karjalan SHP";"2019";"PTH avohoito mielenterveys";"1 viikko";192;495
"71";"Etelä-Karjalan SHP";"2019";"Yhteensä";"4 viikkoa";462;495
"72";"Etelä-Karjalan SHP";"2019";"PTH avohoito mielenterveys";"4 viikkoa";305;495
"73";"Etelä-Karjalan SHP";"2019";"Sosiaalihuolto";"1 viikko";11;495
"74";"Etelä-Karjalan SHP";"2019";"Kuollut";"4 viikkoa";1;495
"75";"Etelä-Karjalan SHP";"2019";"Yhteensä (käynnit)";"2 viikkoa";379;495
"76";"Etelä-Karjalan SHP";"2020";"ESH avohoito";"1 viikko";36;467
"77";"Etelä-Karjalan SHP";"2020";"Kuollut";"2 viikkoa";1;467
"78";"Etelä-Karjalan SHP";"2020";"Yhteensä";"2 viikkoa";414;467
"79";"Etelä-Karjalan SHP";"2020";"Yhteensä";"4 viikkoa";440;467
"80";"Etelä-Karjalan SHP";"2020";"Yhteensä";"1 viikko";367;467
"81";"Etelä-Karjalan SHP";"2020";"Rehospitalisaatio";"1 viikko";40;467
"82";"Etelä-Karjalan SHP";"2020";"Yhteensä (käynnit)";"1 viikko";295;467
"83";"Etelä-Karjalan SHP";"2020";"ESH avohoito";"2 viikkoa";55;467
"84";"Etelä-Karjalan SHP";"2020";"ESH avohoito";"4 viikkoa";73;467
"85";"Etelä-Karjalan SHP";"2020";"PTH avohoito (käynnit)";"1 viikko";254;467
"86";"Etelä-Karjalan SHP";"2020";"Kuollut";"4 viikkoa";1;467
"87";"Etelä-Karjalan SHP";"2020";"PTH avohoito (käynnit)";"4 viikkoa";391;467
"88";"Etelä-Karjalan SHP";"2020";"PTH avohoito mielenterveys";"2 viikkoa";254;467
"89";"Etelä-Karjalan SHP";"2020";"PTH avohoito mielenterveys";"4 viikkoa";320;467
"90";"Etelä-Karjalan SHP";"2020";"PTH avohoito (käynnit)";"2 viikkoa";333;467
"91";"Etelä-Karjalan SHP";"2020";"Päivystyskäynti";"4 viikkoa";57;467
"92";"Etelä-Karjalan SHP";"2020";"Yhteensä (käynnit)";"2 viikkoa";366;467
"93";"Etelä-Karjalan SHP";"2020";"Yhteensä (käynnit)";"4 viikkoa";419;467
"94";"Etelä-Karjalan SHP";"2020";"Sosiaalihuolto";"1 viikko";20;467
"95";"Etelä-Karjalan SHP";"2020";"Rehospitalisaatio";"2 viikkoa";59;467
"96";"Etelä-Karjalan SHP";"2020";"PTH avohoito";"4 viikkoa";431;467
"97";"Etelä-Karjalan SHP";"2020";"PTH avohoito";"2 viikkoa";398;467
"98";"Etelä-Karjalan SHP";"2020";"PTH + ESH avohoito (käynnit)";"4 viikkoa";406;467
"99";"Etelä-Karjalan SHP";"2020";"Sosiaalihuolto";"2 viikkoa";27;467
"100";"Etelä-Karjalan SHP";"2020";"Sosiaalihuolto";"4 viikkoa";31;467
"101";"Etelä-Karjalan SHP";"2020";"PTH avohoito mielenterveys";"1 viikko";185;467
"102";"Etelä-Karjalan SHP";"2020";"PTH avohoito";"1 viikko";346;467
"103";"Etelä-Karjalan SHP";"2020";"Päivystyskäynti";"1 viikko";30;467
"104";"Etelä-Karjalan SHP";"2020";"Päivystyskäynti";"2 viikkoa";47;467
"105";"Etelä-Karjalan SHP";"2020";"PTH + ESH avohoito (käynnit)";"2 viikkoa";351;467
"106";"Etelä-Karjalan SHP";"2020";"PTH + ESH avohoito (käynnit)";"1 viikko";274;467
"107";"Etelä-Karjalan SHP";"2020";"Rehospitalisaatio";"4 viikkoa";94;467
"108";"Etelä-Pohjanmaan SHP";"2019";"Sosiaalihuolto";"2 viikkoa";34;522
"109";"Etelä-Pohjanmaan SHP";"2019";"Sosiaalihuolto";"4 viikkoa";40;522
"110";"Etelä-Pohjanmaan SHP";"2019";"Rehospitalisaatio";"2 viikkoa";66;522
"111";"Etelä-Pohjanmaan SHP";"2019";"Päivystyskäynti";"1 viikko";32;522
"112";"Etelä-Pohjanmaan SHP";"2019";"PTH + ESH avohoito (käynnit)";"2 viikkoa";367;522
"113";"Etelä-Pohjanmaan SHP";"2019";"PTH + ESH avohoito (käynnit)";"4 viikkoa";425;522
"114";"Etelä-Pohjanmaan SHP";"2019";"Yhteensä";"4 viikkoa";473;522
"115";"Etelä-Pohjanmaan SHP";"2019";"ESH avohoito";"4 viikkoa";287;522
"116";"Etelä-Pohjanmaan SHP";"2019";"PTH avohoito (käynnit)";"1 viikko";158;522
"117";"Etelä-Pohjanmaan SHP";"2019";"PTH avohoito (käynnit)";"2 viikkoa";213;522
"118";"Etelä-Pohjanmaan SHP";"2019";"PTH avohoito (käynnit)";"4 viikkoa";267;522
"119";"Etelä-Pohjanmaan SHP";"2019";"ESH avohoito";"1 viikko";158;522
"120";"Etelä-Pohjanmaan SHP";"2019";"ESH avohoito";"2 viikkoa";216;522
"121";"Etelä-Pohjanmaan SHP";"2019";"Sosiaalihuolto";"1 viikko";31;522
"122";"Etelä-Pohjanmaan SHP";"2019";"Rehospitalisaatio";"1 viikko";41;522
"123";"Etelä-Pohjanmaan SHP";"2019";"Kuollut";"4 viikkoa";2;522
"124";"Etelä-Pohjanmaan SHP";"2019";"PTH + ESH avohoito (käynnit)";"1 viikko";285;522
"125";"Etelä-Pohjanmaan SHP";"2019";"Yhteensä";"1 viikko";356;522
"126";"Etelä-Pohjanmaan SHP";"2019";"Yhteensä";"2 viikkoa";432;522
"127";"Etelä-Pohjanmaan SHP";"2019";"Päivystyskäynti";"2 viikkoa";43;522
"128";"Etelä-Pohjanmaan SHP";"2019";"PTH avohoito";"2 viikkoa";292;522
"129";"Etelä-Pohjanmaan SHP";"2019";"PTH avohoito";"4 viikkoa";339;522
"130";"Etelä-Pohjanmaan SHP";"2019";"Yhteensä (käynnit)";"4 viikkoa";445;522
"131";"Etelä-Pohjanmaan SHP";"2019";"Kuollut";"2 viikkoa";2;522
"132";"Etelä-Pohjanmaan SHP";"2019";"PTH avohoito mielenterveys";"1 viikko";19;522
"133";"Etelä-Pohjanmaan SHP";"2019";"PTH avohoito mielenterveys";"2 viikkoa";29;522
"134";"Etelä-Pohjanmaan SHP";"2019";"PTH avohoito mielenterveys";"4 viikkoa";39;522
"135";"Etelä-Pohjanmaan SHP";"2019";"Yhteensä (käynnit)";"1 viikko";310;522
"136";"Etelä-Pohjanmaan SHP";"2019";"Yhteensä (käynnit)";"2 viikkoa";386;522
"137";"Etelä-Pohjanmaan SHP";"2019";"Rehospitalisaatio";"4 viikkoa";112;522
"138";"Etelä-Pohjanmaan SHP";"2019";"Kuollut";"1 viikko";1;522
"139";"Etelä-Pohjanmaan SHP";"2019";"PTH avohoito";"1 viikko";223;522
"140";"Etelä-Pohjanmaan SHP";"2019";"Päivystyskäynti";"4 viikkoa";64;522
"141";"Etelä-Pohjanmaan SHP";"2020";"Yhteensä (käynnit)";"1 viikko";291;488
"142";"Etelä-Pohjanmaan SHP";"2020";"Yhteensä (käynnit)";"2 viikkoa";365;488
"143";"Etelä-Pohjanmaan SHP";"2020";"ESH avohoito";"1 viikko";116;488
"144";"Etelä-Pohjanmaan SHP";"2020";"ESH avohoito";"4 viikkoa";236;488
"145";"Etelä-Pohjanmaan SHP";"2020";"PTH avohoito";"2 viikkoa";285;488
"146";"Etelä-Pohjanmaan SHP";"2020";"PTH avohoito";"4 viikkoa";333;488
"147";"Etelä-Pohjanmaan SHP";"2020";"PTH avohoito (käynnit)";"2 viikkoa";239;488
"148";"Etelä-Pohjanmaan SHP";"2020";"Yhteensä";"1 viikko";323;488
"149";"Etelä-Pohjanmaan SHP";"2020";"Yhteensä";"4 viikkoa";430;488
"150";"Etelä-Pohjanmaan SHP";"2020";"PTH avohoito mielenterveys";"2 viikkoa";28;488
"151";"Etelä-Pohjanmaan SHP";"2020";"PTH avohoito (käynnit)";"1 viikko";188;488
"152";"Etelä-Pohjanmaan SHP";"2020";"Päivystyskäynti";"1 viikko";20;488
"153";"Etelä-Pohjanmaan SHP";"2020";"Päivystyskäynti";"4 viikkoa";41;488
"154";"Etelä-Pohjanmaan SHP";"2020";"PTH + ESH avohoito (käynnit)";"2 viikkoa";346;488
"155";"Etelä-Pohjanmaan SHP";"2020";"Yhteensä (käynnit)";"4 viikkoa";407;488
"156";"Etelä-Pohjanmaan SHP";"2020";"PTH avohoito";"1 viikko";232;488
"157";"Etelä-Pohjanmaan SHP";"2020";"Rehospitalisaatio";"2 viikkoa";61;488
"158";"Etelä-Pohjanmaan SHP";"2020";"Yhteensä";"2 viikkoa";392;488
"159";"Etelä-Pohjanmaan SHP";"2020";"Rehospitalisaatio";"4 viikkoa";106;488
"160";"Etelä-Pohjanmaan SHP";"2020";"Sosiaalihuolto";"1 viikko";22;488
"161";"Etelä-Pohjanmaan SHP";"2020";"Sosiaalihuolto";"2 viikkoa";23;488
"162";"Etelä-Pohjanmaan SHP";"2020";"Päivystyskäynti";"2 viikkoa";34;488
"163";"Etelä-Pohjanmaan SHP";"2020";"PTH avohoito mielenterveys";"1 viikko";20;488
"164";"Etelä-Pohjanmaan SHP";"2020";"PTH avohoito mielenterveys";"4 viikkoa";37;488
"165";"Etelä-Pohjanmaan SHP";"2020";"ESH avohoito";"2 viikkoa";172;488
"166";"Etelä-Pohjanmaan SHP";"2020";"Rehospitalisaatio";"1 viikko";24;488
"167";"Etelä-Pohjanmaan SHP";"2020";"PTH + ESH avohoito (käynnit)";"1 viikko";271;488
"168";"Etelä-Pohjanmaan SHP";"2020";"PTH + ESH avohoito (käynnit)";"4 viikkoa";392;488
"169";"Etelä-Pohjanmaan SHP";"2020";"Sosiaalihuolto";"4 viikkoa";26;488
"170";"Etelä-Pohjanmaan SHP";"2020";"PTH avohoito (käynnit)";"4 viikkoa";285;488
"171";"Etelä-Savon SHP";"2019";"Sosiaalihuolto";"1 viikko";20;275
"172";"Etelä-Savon SHP";"2019";"ESH avohoito";"4 viikkoa";99;275
"173";"Etelä-Savon SHP";"2019";"Yhteensä";"1 viikko";193;275
"174";"Etelä-Savon SHP";"2019";"PTH + ESH avohoito (käynnit)";"1 viikko";153;275
"175";"Etelä-Savon SHP";"2019";"Rehospitalisaatio";"2 viikkoa";25;275
"176";"Etelä-Savon SHP";"2019";"PTH avohoito (käynnit)";"1 viikko";115;275
"177";"Etelä-Savon SHP";"2019";"Sosiaalihuolto";"4 viikkoa";24;275
"178";"Etelä-Savon SHP";"2019";"ESH avohoito";"1 viikko";59;275
"179";"Etelä-Savon SHP";"2019";"ESH avohoito";"2 viikkoa";77;275
"180";"Etelä-Savon SHP";"2019";"PTH avohoito mielenterveys";"4 viikkoa";101;275
"181";"Etelä-Savon SHP";"2019";"Sosiaalihuolto";"2 viikkoa";23;275
"182";"Etelä-Savon SHP";"2019";"Rehospitalisaatio";"1 viikko";14;275
"183";"Etelä-Savon SHP";"2019";"Yhteensä";"4 viikkoa";243;275
"184";"Etelä-Savon SHP";"2019";"PTH avohoito";"2 viikkoa";182;275
"185";"Etelä-Savon SHP";"2019";"PTH + ESH avohoito (käynnit)";"2 viikkoa";192;275
"186";"Etelä-Savon SHP";"2019";"PTH + ESH avohoito (käynnit)";"4 viikkoa";212;275
"187";"Etelä-Savon SHP";"2019";"PTH avohoito mielenterveys";"1 viikko";69;275
"188";"Etelä-Savon SHP";"2019";"PTH avohoito mielenterveys";"2 viikkoa";90;275
"189";"Etelä-Savon SHP";"2019";"PTH avohoito (käynnit)";"2 viikkoa";146;275
"190";"Etelä-Savon SHP";"2019";"PTH avohoito (käynnit)";"4 viikkoa";166;275
"191";"Etelä-Savon SHP";"2019";"Yhteensä";"2 viikkoa";225;275
"192";"Etelä-Savon SHP";"2019";"Päivystyskäynti";"1 viikko";7;275
"193";"Etelä-Savon SHP";"2019";"Kuollut";"4 viikkoa";1;275
"194";"Etelä-Savon SHP";"2019";"Yhteensä (käynnit)";"2 viikkoa";203;275
"195";"Etelä-Savon SHP";"2019";"Yhteensä (käynnit)";"1 viikko";164;275
"196";"Etelä-Savon SHP";"2019";"Päivystyskäynti";"2 viikkoa";11;275
"197";"Etelä-Savon SHP";"2019";"Rehospitalisaatio";"4 viikkoa";38;275
"198";"Etelä-Savon SHP";"2019";"Yhteensä (käynnit)";"4 viikkoa";220;275
"199";"Etelä-Savon SHP";"2019";"PTH avohoito";"1 viikko";152;275
"200";"Etelä-Savon SHP";"2019";"Päivystyskäynti";"4 viikkoa";14;275
"201";"Etelä-Savon SHP";"2019";"PTH avohoito";"4 viikkoa";207;275
"202";"Etelä-Savon SHP";"2020";"Yhteensä";"4 viikkoa";290;321
"203";"Etelä-Savon SHP";"2020";"Yhteensä (käynnit)";"4 viikkoa";278;321
"204";"Etelä-Savon SHP";"2020";"Rehospitalisaatio";"1 viikko";9;321
"205";"Etelä-Savon SHP";"2020";"ESH avohoito";"4 viikkoa";118;321
"206";"Etelä-Savon SHP";"2020";"Yhteensä (käynnit)";"2 viikkoa";242;321
"207";"Etelä-Savon SHP";"2020";"ESH avohoito";"2 viikkoa";92;321
"208";"Etelä-Savon SHP";"2020";"Yhteensä";"1 viikko";228;321
"209";"Etelä-Savon SHP";"2020";"Yhteensä";"2 viikkoa";264;321
"210";"Etelä-Savon SHP";"2020";"PTH avohoito mielenterveys";"1 viikko";57;321
"211";"Etelä-Savon SHP";"2020";"PTH avohoito mielenterveys";"2 viikkoa";80;321
"212";"Etelä-Savon SHP";"2020";"Sosiaalihuolto";"4 viikkoa";18;321
"213";"Etelä-Savon SHP";"2020";"Päivystyskäynti";"4 viikkoa";20;321
"214";"Etelä-Savon SHP";"2020";"Yhteensä (käynnit)";"1 viikko";196;321
"215";"Etelä-Savon SHP";"2020";"Kuollut";"1 viikko";1;321
"216";"Etelä-Savon SHP";"2020";"ESH avohoito";"1 viikko";59;321
"217";"Etelä-Savon SHP";"2020";"PTH + ESH avohoito (käynnit)";"4 viikkoa";267;321
"218";"Etelä-Savon SHP";"2020";"PTH avohoito";"1 viikko";193;321
"219";"Etelä-Savon SHP";"2020";"PTH avohoito (käynnit)";"2 viikkoa";189;321
"220";"Etelä-Savon SHP";"2020";"PTH avohoito (käynnit)";"4 viikkoa";227;321
"221";"Etelä-Savon SHP";"2020";"Sosiaalihuolto";"1 viikko";11;321
"222";"Etelä-Savon SHP";"2020";"PTH avohoito (käynnit)";"1 viikko";148;321
"223";"Etelä-Savon SHP";"2020";"PTH + ESH avohoito (käynnit)";"1 viikko";182;321
"224";"Etelä-Savon SHP";"2020";"Rehospitalisaatio";"4 viikkoa";35;321
"225";"Etelä-Savon SHP";"2020";"Päivystyskäynti";"1 viikko";12;321
"226";"Etelä-Savon SHP";"2020";"PTH avohoito mielenterveys";"4 viikkoa";104;321
"227";"Etelä-Savon SHP";"2020";"Kuollut";"4 viikkoa";2;321
"228";"Etelä-Savon SHP";"2020";"Rehospitalisaatio";"2 viikkoa";18;321
"229";"Etelä-Savon SHP";"2020";"PTH + ESH avohoito (käynnit)";"2 viikkoa";230;321
"230";"Etelä-Savon SHP";"2020";"Kuollut";"2 viikkoa";1;321
"231";"Etelä-Savon SHP";"2020";"PTH avohoito";"4 viikkoa";253;321
"232";"Etelä-Savon SHP";"2020";"PTH avohoito";"2 viikkoa";224;321
"233";"Etelä-Savon SHP";"2020";"Päivystyskäynti";"2 viikkoa";16;321
"234";"Etelä-Savon SHP";"2020";"Sosiaalihuolto";"2 viikkoa";11;321
"235";"Helsingin ja Uudenmaan SHP";"2019";"Sosiaalihuolto";"2 viikkoa";143;2780
"236";"Helsingin ja Uudenmaan SHP";"2019";"PTH avohoito mielenterveys";"4 viikkoa";147;2780
"237";"Helsingin ja Uudenmaan SHP";"2019";"ESH avohoito";"2 viikkoa";1347;2780
"238";"Helsingin ja Uudenmaan SHP";"2019";"Sosiaalihuolto";"1 viikko";119;2780
"239";"Helsingin ja Uudenmaan SHP";"2019";"PTH + ESH avohoito (käynnit)";"1 viikko";1401;2780
"240";"Helsingin ja Uudenmaan SHP";"2019";"Yhteensä";"1 viikko";1700;2780
"241";"Helsingin ja Uudenmaan SHP";"2019";"PTH avohoito mielenterveys";"2 viikkoa";113;2780
"242";"Helsingin ja Uudenmaan SHP";"2019";"Päivystyskäynti";"4 viikkoa";384;2780
"243";"Helsingin ja Uudenmaan SHP";"2019";"Kuollut";"4 viikkoa";9;2780
"244";"Helsingin ja Uudenmaan SHP";"2019";"PTH avohoito mielenterveys";"1 viikko";82;2780
"245";"Helsingin ja Uudenmaan SHP";"2019";"Sosiaalihuolto";"4 viikkoa";170;2780
"246";"Helsingin ja Uudenmaan SHP";"2019";"Rehospitalisaatio";"2 viikkoa";417;2780
"247";"Helsingin ja Uudenmaan SHP";"2019";"ESH avohoito";"1 viikko";1053;2780
"248";"Helsingin ja Uudenmaan SHP";"2019";"ESH avohoito";"4 viikkoa";1596;2780
"249";"Helsingin ja Uudenmaan SHP";"2019";"PTH + ESH avohoito (käynnit)";"4 viikkoa";2021;2780
"250";"Helsingin ja Uudenmaan SHP";"2019";"Yhteensä";"4 viikkoa";2279;2780
"251";"Helsingin ja Uudenmaan SHP";"2019";"Rehospitalisaatio";"4 viikkoa";625;2780
"252";"Helsingin ja Uudenmaan SHP";"2019";"PTH + ESH avohoito (käynnit)";"2 viikkoa";1732;2780
"253";"Helsingin ja Uudenmaan SHP";"2019";"Päivystyskäynti";"2 viikkoa";276;2780
"254";"Helsingin ja Uudenmaan SHP";"2019";"PTH avohoito (käynnit)";"4 viikkoa";1024;2780
"255";"Helsingin ja Uudenmaan SHP";"2019";"Kuollut";"2 viikkoa";6;2780
"256";"Helsingin ja Uudenmaan SHP";"2019";"Yhteensä (käynnit)";"2 viikkoa";1906;2780
"257";"Helsingin ja Uudenmaan SHP";"2019";"PTH avohoito (käynnit)";"2 viikkoa";767;2780
"258";"Helsingin ja Uudenmaan SHP";"2019";"Rehospitalisaatio";"1 viikko";260;2780
"259";"Helsingin ja Uudenmaan SHP";"2019";"Kuollut";"1 viikko";4;2780
"260";"Helsingin ja Uudenmaan SHP";"2019";"PTH avohoito (käynnit)";"1 viikko";575;2780
"261";"Helsingin ja Uudenmaan SHP";"2019";"Yhteensä (käynnit)";"1 viikko";1568;2780
"262";"Helsingin ja Uudenmaan SHP";"2019";"Yhteensä";"2 viikkoa";2031;2780
"263";"Helsingin ja Uudenmaan SHP";"2019";"PTH avohoito";"2 viikkoa";1041;2780
"264";"Helsingin ja Uudenmaan SHP";"2019";"Yhteensä (käynnit)";"4 viikkoa";2189;2780
"265";"Helsingin ja Uudenmaan SHP";"2019";"PTH avohoito";"1 viikko";794;2780
"266";"Helsingin ja Uudenmaan SHP";"2019";"Päivystyskäynti";"1 viikko";191;2780
"267";"Helsingin ja Uudenmaan SHP";"2019";"PTH avohoito";"4 viikkoa";1310;2780
"268";"Helsingin ja Uudenmaan SHP";"2020";"ESH avohoito";"2 viikkoa";1424;2731
"269";"Helsingin ja Uudenmaan SHP";"2020";"PTH + ESH avohoito (käynnit)";"4 viikkoa";2104;2731
"270";"Helsingin ja Uudenmaan SHP";"2020";"PTH avohoito mielenterveys";"2 viikkoa";63;2731
"271";"Helsingin ja Uudenmaan SHP";"2020";"PTH avohoito";"2 viikkoa";1163;2731
"272";"Helsingin ja Uudenmaan SHP";"2020";"ESH avohoito";"1 viikko";1078;2731
"273";"Helsingin ja Uudenmaan SHP";"2020";"PTH + ESH avohoito (käynnit)";"2 viikkoa";1847;2731
"274";"Helsingin ja Uudenmaan SHP";"2020";"Päivystyskäynti";"1 viikko";205;2731
"275";"Helsingin ja Uudenmaan SHP";"2020";"PTH avohoito mielenterveys";"4 viikkoa";87;2731
"276";"Helsingin ja Uudenmaan SHP";"2020";"Yhteensä (käynnit)";"1 viikko";1646;2731
"277";"Helsingin ja Uudenmaan SHP";"2020";"PTH avohoito mielenterveys";"1 viikko";50;2731
"278";"Helsingin ja Uudenmaan SHP";"2020";"Kuollut";"1 viikko";3;2731
"279";"Helsingin ja Uudenmaan SHP";"2020";"Kuollut";"2 viikkoa";7;2731
"280";"Helsingin ja Uudenmaan SHP";"2020";"ESH avohoito";"4 viikkoa";1659;2731
"281";"Helsingin ja Uudenmaan SHP";"2020";"PTH + ESH avohoito (käynnit)";"1 viikko";1475;2731
"282";"Helsingin ja Uudenmaan SHP";"2020";"PTH avohoito";"1 viikko";871;2731
"283";"Helsingin ja Uudenmaan SHP";"2020";"Rehospitalisaatio";"1 viikko";264;2731
"284";"Helsingin ja Uudenmaan SHP";"2020";"Yhteensä";"1 viikko";1763;2731
"285";"Helsingin ja Uudenmaan SHP";"2020";"PTH avohoito (käynnit)";"1 viikko";636;2731
"286";"Helsingin ja Uudenmaan SHP";"2020";"PTH avohoito (käynnit)";"2 viikkoa";868;2731
"287";"Helsingin ja Uudenmaan SHP";"2020";"PTH avohoito (käynnit)";"4 viikkoa";1169;2731
"288";"Helsingin ja Uudenmaan SHP";"2020";"Yhteensä";"2 viikkoa";2118;2731
"289";"Helsingin ja Uudenmaan SHP";"2020";"Yhteensä";"4 viikkoa";2326;2731
"290";"Helsingin ja Uudenmaan SHP";"2020";"Päivystyskäynti";"4 viikkoa";386;2731
"291";"Helsingin ja Uudenmaan SHP";"2020";"Sosiaalihuolto";"4 viikkoa";173;2731
"292";"Helsingin ja Uudenmaan SHP";"2020";"Kuollut";"4 viikkoa";8;2731
"293";"Helsingin ja Uudenmaan SHP";"2020";"Yhteensä (käynnit)";"2 viikkoa";2006;2731
"294";"Helsingin ja Uudenmaan SHP";"2020";"Yhteensä (käynnit)";"4 viikkoa";2240;2731
